name,cpf,visit_sector,observation
Edson Lopes Gomes,000.000.000-00,Gabinete,Visita para reunião com a Vice Governadora do estado do Ceará
Lucas Rabelo de Mendonça,111.111.111-45,CTIGI,Visita para consultoria e melhoria no DataCenter
Eduardo Camilo Miranda,333.333.333-31,UGP - Prévio,Visita para consultoria e melhoria no DataCenter
Roberta Closer Alberta,349.312.414-22,GPP - PReVio,Encaminhamento de documentação dos direitos LGBTQIA+
Paulo Jardel Mendonça,320.102.031-33,Auditório,Acompanhamento técnico de palestra sobre violência contra as mulheres
Matheus Gadelha Ximenes,303.239.044-32,Assessoria - Especial,Treinamento do sistema do tempo de justiça mulheres
Lucas Lima Santos,303.323.043-35,CTIGI,Assinar contrato para iniciar os trabalhos na CTIGI em setembro
Pedro Pedrosa Cavalcante,304.303.043-36,Secretaria das Mulheres,Reunião sobre as mulheres dos povos indígenas 
Jucá Santos Marques,304.987.314-97,UGP,Reunião sobre as novas metas do BID
Hugo Saraiva Santos,593.951.041-98,COAFI,Treinamento do novo sistema do SUITE
Maria da Silva,444.444.444-49,COAFI,Visita para discussão de faturas pendentes
Rafael Souza,555.555.555-10,Comunicação,Apresentação de proposta de campanha publicitária
Ana Rodrigues,666.666.661-66,CEAGE,Entrevista de candidatura para cargo de analista
Fernando Oliveira,777.772.777-77,Manutenção,Inspeção de segurança no local de trabalho
Isabela Santos,888.888.883-88,GPP - PReVio,Discussão de novos recursos para o aplicativo
João Pereira,999.999.994-99,COAFI,Reunião com cliente para fechamento de contrato
Carolina Ferreira,123.457.789-00,Coordenadoria de Mediação de Paz,Entrega de amostras para teste
Gustavo Oliveira,987.658.321-00,GPP - PreVio,Visita técnica para ajustes na linha de montagem
Fernanda Costa,555.123.789-00,CEAGE,Entrevista de avaliação de desempenho
Ricardo Santos,123.789.551-00,CTIGI,Resolução de problemas de conectividade
Patrícia Rodrigues,234.527.890-12,Assessoria Especial,Agendamento de consulta médica para o Acessor
André Almeida,876.543.230-98,Manutenção,Discussão sobre melhorias no projeto
Laura Ribeiro,654.321.048-76,Comunicação,Apresentação de protótipo de site
Gabriel Lima,111.222.337-44,Secretaria das Mulheres,Reunião estratégica para campanha de lançamento
Clara Fernandes,999.188.777-66,CEAGE,Entrevista com candidato a estágio
Rafaela Oliveira,987.254.321-00,CTIGI,Discussão de novas funcionalidades do aplicativo
Bruno Martins,555.555.355-55,UGP - PReVio,Reunião para definir a Coordenação de entrega de produtos
Isabella Gomes,111.111.411-11,COAFI,Reunião com cliente para apresentação de proposta
Thiago Costa,222.222.522-22,Manutenção,Inspeção de segurança na fábrica
Luana Pereira,333.333.633-33,CEAGE,Entrevista de seleção para cargo administrativo
Francisco Taylon,312.723.313-55,Auditório,Treinamento do novo sistema que irá ser aplicado
Coronel Akira Nobuko,852.489.479-98,Auditório,Treinamento junto ao corpo de bombeiros de primeiros socorros
Suzana Souza Santos,872.315.478-69,CEAGE,Planejamento das consultas de odontologia
Pereira Silva Santos Sales,189.410.258-98,Coordenadoria Militar,Instalação das câmeras
